LOG_AR_I_(1),LOG_AR_I_(2),LOG_AR_I_(3),LOG_AR_I_(4),LOG_mu_(I),LOG_loglik_I,LOG_logpost_I,LOG_MA_I,LOG_measerr_scale_I,LOG_sigma_I,LOG_VAR_I,LOG_L_UV,L_5100,L_3000,L_H_beta,MG_II,0II_5007,OIII_4959
0.099187922046044,0.169860609272731,-0.894584719958209,-2.86273656781186,1.29330259927876,2.10410948809617,2.10410948809617,-26.0890431616965,0.051846501373084,-3.12146535552537,-2.17206526129113,44.7291647896928,44.67030,44.66664,42.71966,42.88055,42.92163,40.86044
-0.938462959053065,0.493198076314757,-0.978715640516754,-3.24783661807394,1.29058317197433,2.0578033038408,2.0578033038408,40.7158794563005,0.023098916269799,-42.1817025920598,-2.0903643574414,45.2810333672477,44.23784,44.89960,42.34346,43.17620,42.36641,41.51476
-0.202598202493178,-0.380173042900702,-2.1856642680332,-3.09158140419508,1.29427804216201,2.11532637371788,2.11532637371788,-25.3428658755148,0.044482563903758,-4.31677566624514,-2.18129592922685,43.9036325160842,44.59427,45.16364,42.67943,43.34918,41.82378,41.74407
-0.139637529232249,-1.06213984812302,-3.28595181875598,-4.57704645568194,1.29236487144581,2.20049296734351,2.20049296734351,-34.4148007983305,-0.011116211222509,-5.52783213739753,-1.98272500724073,45.212187604404,44.80879,45.38134,42.52063,42.99591,41.53349,41.82133
-0.293963692411965,-0.545358696503658,-2.22950091324179,-6.11767591426097,1.30202634113016,2.07845662719206,2.07845662719206,-16.3597939458188,0.044224690996402,-4.15151128936723,-1.78823240671523,45.1205739312058,44.75154,44.71793,42.55448,42.67819,42.01386,40.68333
-0.861235251919732,-0.291857488757,-1.61090051047758,-4.59631005053022,1.29369080686636,2.00096868307559,2.00096868307559,17.6768115786693,0.059917867685903,-19.3093815995029,-2.26955485370323,45.0043213737826,44.08426,44.52579,42.22238,42.87405,41.86658,40.86122
0.027048324544507,-0.251700746178611,-1.55912801402536,-3.90163682274606,1.26408681611718,2.21345126205304,2.21345126205304,-13.1287413318545,-0.041035316935356,-3.71706630950978,-2.12700118705854,44.8337843746565,44.34647,44.77300,42.53414,42.82767,41.64106,42.45178
-0.357650137673928,-0.142294168200356,-0.700824847604639,-4.10616702957041,1.2926453871454,2.02440480164395,2.02440480164395,0.433268775913744,0.064443848716569,-2.85203661493538,-2.46109524826688,44.1986570869544,44.41080,44.90015,42.31086,43.02815,42.85326,40.90548
-0.212600979435795,-0.095176855859519,-1.52176267624622,-2.60068278074339,1.30463259907394,1.98290877133155,1.98290877133155,-35.1379041420807,0.075054233162942,-3.49729262688992,-2.06661574516723,44.6711728427151,44.44258,44.95125,42.33134,43.10245,41.57529,42.26538
-0.961815504276515,-0.017931163093913,-1.86183810892373,-3.55586893239455,1.29202305520639,2.06336382271779,2.06336382271779,21.1368256059674,0.146769100597034,-22.9980124783013,-2.14957514190707,44.828015064224,44.48394,44.86517,42.64806,42.22104,"42.74552

",42.12025
-0.454026908676347,-0.914221074879942,-2.82895888880857,-3.77388546176522,1.28642839313611,2.05860997691703,2.05860997691703,-41.9066981982077,0.086593049936565,-4.63589416716656,-1.50482659626488,44.0755469613925,45.03598,44.04390,43.01677,42.48675,41.89148,41.94719
-0.374617812674999,-0.420919256023546,-1.87021920394143,-5.29273981616487,1.25637345062954,2.16931252544156,2.16931252544156,-10.3780719912709,0.042345854627193,-3.88037912435624,-1.706689094686,44.9268567089497,44.61065,44.63855,42.68640,42.92635,42.35133,41.81223
-0.220514320817079,-0.552749334173614,-2.14242505692256,-4.52469340947885,1.29364243820103,2.04245842680473,2.04245842680473,-27.8658161661402,0.042075413785536,-3.93336993276837,-1.67860947060866,45.3074960379132,44.70652,44.54728,43.10906,42.99379,42.24738,41.59778
